id,brand,sku_model,itemname,itemdescription,itemupc,singleitemlength,singleitemweight,singleitemwidth,singleitemheight,singleitemdepth,singlepackagelength,singlepackagewidth,singlepackageheight,singlepackageweight,itemdimunit,itemweightunit,packagedimunit,liquid,glass,sealedcap,packagingtype,itemfluidounces,itemvolumemil,itemingredients,itembenefits,itemsuggesteduse,itemdirections,itemcountryoforigin,shelflife,itemmainimagelink,itemimagelink2,itemimagelink3,itemimagelink4,itemimagelink5,electroniccomponent,voltage,electriccertification,itemcasepack,casepackupc,innerpackupc,singleitemcostusd,singleitemretailusd,singleitemmapusd,batteriesrequired,batteriesincluded,howmanybatteries,batterytype,brandstory,itemsioc,itempfp,duallanguage,hazmat,unnumber,canadiancert,datesubmittedtoamazon,amazonasin,amazonlivelink,msdslink,datesubmittedtodb,warnings,whatsincluded,amazontitle,amazonbulletpoint1,amazonbulletpoint2,amazonbulletpoint3,amazonbulletpoint4,amazonbulletpoint5,amazondescription,amazonkeywords,labellanguages,amazonchannel,amazonvendorcode,amazonsubmissionid
53,added another one,18908,Name 50,,2008,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,0000-00-00 00:00:00,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
54,Brand name,8388607,Name 60,,8388607,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-17 22:45:47,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
55,Upload and edit works,198287,Name 70,,198287,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 14:46:08,,,,2018-02-14 20:09:50,,,,,,,,,,,,slslslslslsl,,0
56,added another one,18903,Name 80,,2003,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 14:46:56,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
57,checking add product,1111111,Name 90,,2222222,,,,,,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,0,0,,0,0,0,0,,0,0,0,0,0,0,2018-02-18 15:01:23,,,,0000-00-00 00:00:00,,,,,,,,,,,,,,0
,checking add product,1111112,,,2222223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111113,,,2222224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111114,,,2222225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111115,,,2222226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111116,,,2222227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111117,,,2222228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111118,,,2222229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111119,,,2222230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111120,,,2222231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111121,,,2222232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111122,,,2222233,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111123,,,2222234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,checking add product,1111124,,,2222235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
